director,genre,level,rating,runtime,studio,time,title,url,writer
Amanda Lipitz,Documentary,PG (for thematic elements and some language),96%,83 minutes,,,Step,https://www.rottentomatoes.com/m/step_2017,
Antonio SantiniDan Sickles,Documentary,NR,98%,101 minutes,The Orchard,,Dina,https://www.rottentomatoes.com/m/dina_2017,
Jonathan Olshefski,Documentary,NR,98%,105 minutes,First Run Features,,Quest,https://www.rottentomatoes.com/m/quest_2017,
Chad Stahelski,Action & AdventureDrama,"R (for strong violence throughout, some language and brief nudity)",89%,122 minutes,Summit Entertainment,"Feb 10, 2017",John Wick: Chapter 2,https://www.rottentomatoes.com/m/john_wick_chapter_2,Derek Kolstad
Noah Baumbach,ComedyDrama,NR,93%,,,"Oct 13, 2017",The Meyerowitz Stories (New and Selected),https://www.rottentomatoes.com/m/the_meyerowitz_stories,Noah Baumbach
Andy Muschietti,DramaHorrorMystery & Suspense,"R (for violence/horror, bloody images, and for language)",85%,135 minutes,Warner Bros. Pictures,"Sep 8, 2017",It,https://www.rottentomatoes.com/m/it_2017,Chase PalmerCary Joji FukunagaGary Dauberman
Joshua Z. Weinstein,Drama,PG (for thematic elements.),96%,81 minutes,A24 Films,"Jul 28, 2017",Menashe,https://www.rottentomatoes.com/m/menashe,Alex LipschultzJoshua Z. WeinsteinMusa Syeed
Benny SafdieJoshua Safdie,Drama,"R (for language throughout, violence, drug use and sexual content)",91%,100 minutes,A24,"Aug 25, 2017",Good Time,https://www.rottentomatoes.com/m/good_time,Joshua SafdieRonald Bronstein
Cristian Mungiu,Art House & InternationalDrama,R (for some language),95%,127 minutes,Sundance Selects,"Apr 7, 2017",Graduation (Bacalaureat),https://www.rottentomatoes.com/m/graduation_2017,Cristian Mungiu
Sabaah Folayan,Documentary,R (for language throughout),98%,100 minutes,Magnolia Pictures,,Whose Streets?,https://www.rottentomatoes.com/m/whose_streets,
Hirokazu Koreeda,Art House & InternationalDrama,NR,96%,117 minutes,Film Movement,"Mar 17, 2017",After the Storm (Umi yori mo mada fukaku),https://www.rottentomatoes.com/m/after_the_storm_2017,Hirokazu Koreeda
Makoto Shinkai,AnimationDramaRomance,"PG (for thematic elements, suggestive content, brief language, and smoking)",97%,106 minutes,FUNimation Films,"Apr 7, 2017",Your Name. (Kimi No Na Wa.),https://www.rottentomatoes.com/m/your_name_2017,Makoto Shinkai
,Documentary,NR,100%,107 minutes,Netflix,"Sep 15, 2017",Strong Island,https://www.rottentomatoes.com/m/strong_island,
Cesc Gay,Art House & InternationalComedyDrama,NR,99%,,,"Apr 7, 2017",Truman,https://www.rottentomatoes.com/m/truman_2017,Tomás AragayCesc Gay
Francis Lee,Art House & InternationalDramaRomance,NR,97%,104 minutes,Samuel Goldwyn Films,"Oct 25, 2017",God's Own Country,https://www.rottentomatoes.com/m/gods_own_country_2017,Francis Lee
Kogonada,Drama,NR,97%,104 minutes,Superlative Films / Depth of Field Productions,"Aug 4, 2017",Columbus,https://www.rottentomatoes.com/m/columbus_2017,Kogonada
,Documentary,NR,100%,120 minutes,Kino Lorber,,Dawson City: Frozen Time,https://www.rottentomatoes.com/m/dawson_city_frozen_time,
Jairus McLearyGethin Aldous,Documentary,NR,100%,87 minutes,Blanketfort Media,"Oct 25, 2017",The Work,https://www.rottentomatoes.com/m/the_work,
Brett Morgen,Documentary,PG (Jane: In The Shadow Of Man),98%,90 minutes,National Geographic Studios,"Oct 20, 2017",Jane,https://www.rottentomatoes.com/m/jane,Brett Morgen
Alexis Bloom,Documentary,NR,100%,95 minutes,HBO Films,"Jan 7, 2017",Bright Lights: Starring Carrie Fisher and Debbie Reynolds,https://www.rottentomatoes.com/m/bright_lights_starring_carrie_fisher_and_debbie_reynolds,
Matthew Heineman,Documentary,"R (for disturbing violent content, and for some language)",98%,91 minutes,"Amazon Studios, A&E Indie Films and IFC Films",,City of Ghosts,https://www.rottentomatoes.com/m/city_of_ghosts_2017,
David Lowery,Drama,R (for brief language and a disturbing image),91%,87 minutes,Ideaman Studios,"Jul 7, 2017",A Ghost Story,https://www.rottentomatoes.com/m/a_ghost_story,David Lowery
John Carroll Lynch,ComedyDrama,NR,97%,86 minutes,Magnolia Pictures,"Sep 29, 2017",Lucky,https://www.rottentomatoes.com/m/lucky_2017,Logan SparksDrago Sumonja
Ceyda Torun,Documentary,NR,98%,79 minutes,Oscilloscope Laboratories,"Nov 14, 2017",Kedi,https://www.rottentomatoes.com/m/kedi_2017,
Robin Campillo,Art House & InternationalDrama,NR,98%,146 minutes,Les Films de Pierre,"Oct 20, 2017",BPM (Beats Per Minute) (120 battements par minute),https://www.rottentomatoes.com/m/bpm,Philippe MangeotRobin Campillo
Chris McKay,Action & AdventureAnimationComedyKids & Family,PG (for rude humor and some action),90%,90 minutes,Warner Bros. Pictures,"Feb 10, 2017",The Lego Batman Movie,https://www.rottentomatoes.com/m/the_lego_batman_movie,Seth Grahame-SmithChris McKenna (II)Erik SommersJared SternJohn Whittington
Claude Barras,AnimationArt House & InternationalKids & Family,PG-13 (for thematic elements and suggestive material),98%,66 minutes,Rita Productions,"Feb 24, 2017",My Life as a Zucchini (Ma vie de courgette),https://www.rottentomatoes.com/m/my_life_as_a_zucchini,Céline Sciamma
Steven Soderbergh,Comedy,PG-13 (for language and some crude comments),92%,119 minutes,Fingerprint Releasing / Bleecker Street,"Aug 18, 2017",Logan Lucky,https://www.rottentomatoes.com/m/logan_lucky,Rebecca Blunt
Asghar Farhadi,Art House & InternationalDramaMystery & Suspense,PG-13 (for mature thematic elements and a brief bloody image),96%,125 minutes,Cohen Media Group,"Jan 27, 2017",The Salesman (Forushande),https://www.rottentomatoes.com/m/the_salesman_2017,Asghar Farhadi
JRAgnès Varda,Art House & InternationalDocumentary,PG (for brief nude images and thematic elements),99%,90 minutes,Cohen Media Group,"Mar 6, 2018","Faces Places (Visages, villages)",https://www.rottentomatoes.com/m/faces_places,
Dee Rees,Drama,"R (for some disturbing violence, brief language and nudity)",97%,134 minutes,Netflix,"Nov 17, 2017",Mudbound,https://www.rottentomatoes.com/m/mudbound,Dee ReesVirgil Williams
Denis Villeneuve,Action & AdventureDramaScience Fiction & Fantasy,"R (for violence, some sexuality, nudity and language)",87%,164 minutes,Warner Bros. Pictures,"Oct 6, 2017",Blade Runner 2049,https://www.rottentomatoes.com/m/blade_runner_2049,Michael GreenHampton Fancher
James Franco,Comedy,R (for language throughout and some sexuality/nudity),91%,104 minutes,A24,"Dec 8, 2017",The Disaster Artist,https://www.rottentomatoes.com/m/the_disaster_artist,Scott NeustadterMichael H. Weber
Ted Melfi,Drama,PG (for thematic elements and some language),93%,127 minutes,20th Century Fox,"Jan 6, 2017",Hidden Figures,https://www.rottentomatoes.com/m/hidden_figures,Allison SchroederTed Melfi
Raoul Peck,Documentary,"PG-13 (for disturbing violent images, thematic material, language and brief nudity.)",98%,93 minutes,Magnolia Pictures,"Feb 3, 2017",I Am Not Your Negro,https://www.rottentomatoes.com/m/i_am_not_your_negro,James BaldwinRaoul Peck
Martin McDonagh,ComedyDrama,"R (for violence, language throughout, and some sexual references)",90%,115 minutes,Fox Searchlight Pictures,"Dec 1, 2017","Three Billboards Outside Ebbing, Missouri",https://www.rottentomatoes.com/m/three_billboards_outside_ebbing_missouri,Martin McDonagh
Matt Reeves,Action & AdventureDramaScience Fiction & Fantasy,"PG-13 (for sequences of sci-fi violence and action, thematic elements, and some disturbing images)",93%,140 minutes,20th Century Fox,"Jul 14, 2017",War for the Planet of the Apes,https://www.rottentomatoes.com/m/war_for_the_planet_of_the_apes,Mark BombackMatt Reeves
Jon Watts,Action & AdventureDramaScience Fiction & Fantasy,"PG-13 (for sci-fi action violence, some language and brief suggestive comments)",92%,133 minutes,Sony Pictures,"Jul 7, 2017",Spider-Man: Homecoming,https://www.rottentomatoes.com/m/spider_man_homecoming,Jonathan M. GoldsteinJohn Francis DaleyJon WattsChristopher FordChris McKenna (II)Erik Sommers
Sean Baker (II) ,Drama,"R (for language throughout, disturbing behavior, sexual references and some drug material)",96%,115 minutes,June Pictures,"Oct 6, 2017",The Florida Project,https://www.rottentomatoes.com/m/the_florida_project,Sean Baker (II) Chris Bergoch
Edgar Wright,Action & AdventureDrama,R (for violence and language throughout.),93%,113 minutes,Sony Pictures,"Jun 28, 2017",Baby Driver,https://www.rottentomatoes.com/m/baby_driver,Edgar Wright
Guillermo del Toro,DramaScience Fiction & FantasyRomance,"R (for sexual content, graphic nudity, violence and language)",92%,119 minutes,Fox Searchlight Pictures,"Dec 22, 2017",The Shape of Water,https://www.rottentomatoes.com/m/the_shape_of_water_2017,Guillermo del ToroVanessa Taylor
Taika Waititi,Action & AdventureDramaScience Fiction & Fantasy,"PG-13 (for intense sequences of sci-fi violence and action, and brief suggestive material)",92%,130 minutes,Walt Disney Pictures,"Nov 3, 2017",Thor: Ragnarok,https://www.rottentomatoes.com/m/thor_ragnarok_2017,Eric Pearson
James Mangold,Action & AdventureDramaScience Fiction & Fantasy,"R (for strong brutal violence and language throughout, and for brief nudity)",93%,135 minutes,20th Century Fox,"Mar 3, 2017",Logan,https://www.rottentomatoes.com/m/logan_2017,James MangoldScott FrankMichael Green
Rian Johnson,Action & AdventureDramaScience Fiction & Fantasy,PG-13 (for sequences of sci-fi action and violence),91%,152 minutes,Walt Disney Pictures,"Dec 15, 2017",Star Wars: The Last Jedi,https://www.rottentomatoes.com/m/star_wars_the_last_jedi,Rian JohnsonGeorge Lucas
Michael Showalter,ComedyRomance,R (for language including some sexual references),98%,119 minutes,Amazon Studios,"Jul 14, 2017",The Big Sick,https://www.rottentomatoes.com/m/the_big_sick,Kumail NanjianiEmily V. Gordon
Christopher Nolan,Action & AdventureDrama,PG-13 (for intense war experience and some language),92%,107 minutes,Warner Bros. Pictures,"Jul 21, 2017",Dunkirk,https://www.rottentomatoes.com/m/dunkirk_2017,Christopher Nolan
Patty Jenkins,Action & AdventureDramaScience Fiction & Fantasy,"PG-13 (for sequences of violence and action, and some suggestive content)",93%,141 minutes,Warner Bros. Pictures,"Jun 2, 2017",Wonder Woman,https://www.rottentomatoes.com/m/wonder_woman_2017,Allan HeinbergGeoff Johns
Lee UnkrichAdrian Molina,Action & AdventureAnimationComedyKids & Family,PG (for thematic elements),97%,109 minutes,Disney/Pixar,"Nov 22, 2017",Coco,https://www.rottentomatoes.com/m/coco_2017,Adrian MolinaMatthew Aldrich
Kenneth Branagh,Kids & FamilyScience Fiction & FantasyRomance,PG (for mild thematic elements),84%,105 minutes,Walt Disney Pictures,"Mar 13, 2015",Cinderella,https://www.rottentomatoes.com/m/cinderella_2013,Aline Brosh McKennaChris Weitz
Robert Zemeckis,Action & AdventureDrama,"PG (for thematic elements involving perilous situations, and for some nudity, language, brief drug references and smoking)",83%,123 minutes,Sony Pictures,"Oct 9, 2015",The Walk,https://www.rottentomatoes.com/m/the_walk_2015,Robert Zemeckis
Hiromasa Yonebayashi,AnimationDrama,PG (for thematic elements and smoking),90%,103 minutes,GKIDS,"May 22, 2015",When Marnie Was There,https://www.rottentomatoes.com/m/when_marnie_was_there,Keiko NiwaHiromasa YonebayashiMasashi Ando
Nicholas Hytner,Drama,PG-13 (for a brief unsettling image),88%,104 minutes,Sony Pictures,"Dec 4, 2015",The Lady In The Van,https://www.rottentomatoes.com/m/the_lady_in_the_van,Alan Bennett
Mélanie Laurent,DramaMystery & Suspense,NR,92%,91 minutes,Film Movement,"Sep 11, 2015",Breathe,https://www.rottentomatoes.com/m/respire_2014,Mélanie LaurentJulien Lambroschini
Xavier Dolan,Drama,"R (for language throughout, sexual references and some violence)",89%,140 minutes,Lionsgate,"Jan 23, 2015",Mommy,https://www.rottentomatoes.com/m/mommy_2015,Xavier Dolan
Matthew Heineman,Documentary,"R (for violent disturbing images, language, drug content and brief sexual material)",90%,98 minutes,The Orchard,"Mar 29, 2016",Cartel Land,https://www.rottentomatoes.com/m/cartel_land,
Alonso Ruizpalacios,Comedy,NR,92%,106 minutes,Kino Lorber Films,"May 20, 2015",Güeros,https://www.rottentomatoes.com/m/gueros,Alonso RuizpalaciosGibrán Portela
Mark LinfieldAlastair Fothergill,Documentary,G,92%,85 minutes,Walt Disney Pictures,"Sep 15, 2015",Disneynature Monkey Kingdom,https://www.rottentomatoes.com/m/disneynature_monkey_kingdom,
Rick Famuyiwa,ComedyDrama,"R (for languge, drug content, sexuality/nudity, and some violence- all involving teens)",88%,115 minutes,Open Road Films,"Sep 4, 2015",Dope,https://www.rottentomatoes.com/m/dope_2015,Rick Famuyiwa
Marah Strauch,DocumentarySpecial Interest,"PG (for thematic elements, some language, smoking, and a brief nude image)",92%,100 minutes,Magnolia Pictures,"May 22, 2015",Sunshine Superman,https://www.rottentomatoes.com/m/sunshine_superman,Marah Strauch
Peyton Reed,Action & AdventureComedyMystery & SuspenseScience Fiction & Fantasy,PG-13 (for sci-fi action violence),82%,115 minutes,Disney/Marvel,"Jul 17, 2015",Ant-Man,https://www.rottentomatoes.com/m/antman,Joe CornishEdgar WrightAdam McKayPaul RuddStan LeeLarry LieberJack Kirby
Stanley Nelson,Documentary,NR,92%,113 minutes,Firelight Films,"Sep 2, 2015",The Black Panthers: Vanguard Of The Revolution,https://www.rottentomatoes.com/m/the_black_panthers_vanguard_of_the_revolution_2015,Stanley Nelson
S. Craig Zahler,Action & AdventureHorrorWestern,NR,91%,133 minutes,Image Entertainment,"Oct 23, 2015",Bone Tomahawk,https://www.rottentomatoes.com/m/bone_tomahawk,S. Craig Zahler
Lisa Immordino Vreeland,Documentary,NR,93%,97 minutes,Dakota Group,"Nov 6, 2015",Peggy Guggenheim: Art Addict,https://www.rottentomatoes.com/m/peggy_guggenheim_art_addict,Bernadine ColishLisa Immordino Vreeland
Patricio Guzmán,Documentary,NR,93%,82 minutes,Kino Lorber,"Oct 23, 2015",The Pearl Button (El botón de nácar),https://www.rottentomatoes.com/m/the_pearl_button_2015,Patricio Guzmán
Steve Martino,AnimationKids & Family,G,87%,92 minutes,20th Century Fox,"Nov 6, 2015",The Peanuts Movie,https://www.rottentomatoes.com/m/the_peanuts_movie,Bryan SchulzCraig SchulzCharles M. SchulzCornelius Uliano
Josh Mond,Drama,"R (for drug use, some sexuality/nudity, and language.)",92%,85 minutes,The Film Arcade,"Nov 13, 2015",James White,https://www.rottentomatoes.com/m/james_white,Josh Mond
Alê Abreu,AnimationArt House & International,PG (for thematic material and images),93%,81 minutes,GKIDS,"Dec 11, 2015",Boy and the World (O Menino e o Mundo),https://www.rottentomatoes.com/m/boy_and_the_world,Alê Abreu
Ryan FleckAnna Boden,Drama,R (for language),91%,108 minutes,A24 and DIRECTV,"Sep 25, 2015",Mississippi Grind,https://www.rottentomatoes.com/m/mississippi_grind,Ryan FleckAnna Boden
Kirby Dick,Documentary,"PG-13 (for disturbing thematic material involving sexual assault, and for language)",93%,90 minutes,Radius,"Feb 27, 2015",The Hunting Ground,https://www.rottentomatoes.com/m/the_hunting_ground_2015,Kirby Dick
Judd Apatow,Comedy,"R (for strong sexual content, nudity, language and some drug use)",85%,129 minutes,Universal Pictures,"Jul 17, 2015",Trainwreck,https://www.rottentomatoes.com/m/trainwreck,Amy Schumer
Amy Berg,Art House & InternationalDocumentary,NR,93%,106 minutes,Disarming Films,"Nov 27, 2015",Janis: Little Girl Blue,https://www.rottentomatoes.com/m/janis_little_girl_blue,Amy Berg
Alex Ross Perry,DramaMystery & Suspense,NR,93%,90 minutes,IFC Films,"Aug 26, 2015",Queen of Earth,https://www.rottentomatoes.com/m/queen_of_earth,Alex Ross Perry
Bill Condon,Art House & InternationalDramaMystery & Suspense,"PG (for thematic elements, some disturbing images and incidental smoking)",89%,104 minutes,Roadside Attractions,"Jul 17, 2015",Mr. Holmes,https://www.rottentomatoes.com/m/mr_holmes,Arthur Conan DoyleJeffrey Hatcher
Brett Haley,ComedyDramaRomance,"PG-13 (for sexual material, drug use and brief strong language)",93%,95 minutes,Bleecker Street,"May 15, 2015",I'll See You in My Dreams,https://www.rottentomatoes.com/m/ill_see_you_in_my_dreams,Brett HaleyMarc Basch
Dave Boyle,DramaMystery & Suspense,NR,95%,111 minutes,First Pond Entertainment,"Mar 27, 2015",Man from Reno,https://www.rottentomatoes.com/m/man_from_reno,Dave BoyleJoel ClarkMichael Lerman
Ted Geoghegan,Horror,NR,95%,84 minutes,Dark Sky Films,"Jun 5, 2015",We Are Still Here,https://www.rottentomatoes.com/m/we_are_still_here,Ted Geoghegan
Olivier Assayas,Drama,R (for language and brief graphic nudity),90%,124 minutes,IFC Films,"Apr 10, 2015",Clouds of Sils Maria,https://www.rottentomatoes.com/m/clouds_of_sils_maria,Olivier Assayas
Christopher K. WalkerMichael Beach Nichols,Documentary,NR,95%,85 minutes,First Run Features,"Sep 9, 2015",Welcome To Leith,https://www.rottentomatoes.com/m/welcome_to_leith,Christopher K. WalkerMichael Beach Nichols
Gabe Polsky,DocumentarySports & Fitness,PG (for thematic material and language),93%,85 minutes,Sony Pictures Classics,"Jan 23, 2015",Red Army,https://www.rottentomatoes.com/m/red_army_2015,Gabe Polsky
James Ponsoldt,Drama,R (for language including some sexual references),91%,105 minutes,A24 Films,"Jul 31, 2015",The End Of The Tour,https://www.rottentomatoes.com/m/the_end_of_the_tour_2015,Donald Margulies
John M. Maclean,Action & AdventureMystery & Suspense,R (for violence and brief language),92%,84 minutes,A24 and DIRECTV,"May 15, 2015",Slow West,https://www.rottentomatoes.com/m/slow_west_2015,John M. Maclean
F. Gary Gray,DramaMusical & Performing Arts,"R (for language throughout, strong sexuality/nudity, violence, and drug use)",88%,147 minutes,Universal Pictures,"Aug 14, 2015",Straight Outta Compton,https://www.rottentomatoes.com/m/straight_outta_compton,Jonathan HermanAndrea Berloff
Cary Joji Fukunaga,Drama,NR,92%,120 minutes,Netflix,"Oct 16, 2015",Beasts of No Nation,https://www.rottentomatoes.com/m/beasts_of_no_nation,Cary Joji Fukunaga
Guy MaddinEvan Johnson,ComedyDramaScience Fiction & Fantasy,NR,95%,130 minutes,,"Oct 7, 2015",The Forbidden Room,https://www.rottentomatoes.com/m/the_forbidden_room_2015,Guy MaddinEvan Johnson
